incident_id,_anchor,facility_id,attack_type_de,result_de,description_de,full_discription_de
INC-000,Al Ahli Arab Hospital,FAC-009,Bombardierung,"Am 4. Dezember wurde die Umgebung des Al-Ahli-Krankenhauses in Gaza-Stadt bombardiert, wobei mehrere Todesopfer zu beklagen waren.",,
INC-001,Al-Shifa Medical Complex,FAC-000,105-mm-Artillerie-Leuchtgranate,"Ein Verletzter befand sich unter den Zivilisten, die auf dem Krankenhausgelände Schutz gesucht hatten.","In den frühen Morgenstunden der Trauer wurde ein Zivilist, der auf dem Krankenhausgelände Schutz gesucht hatte, durch ein Munitionsfragment verletzt.",
INC-002,Al-Shifa Medical Complex,FAC-000,120-mm-Sprengstoffpanzergranate,Es entstanden Schäden an der Krankenhauswand und ein Teil der Decke stürzte ein.,Die Überreste der Munition lassen auf ein Leitwerk einer 120-mm-Sprenggranate eines israelischen Panzers schließen; die Folgen des Angriffs zeigen zwei große Löcher in einer Wand des Krankenhauses und einen eingestürzten Teil der Decke.,
INC-003,Al-Shifa Medical Complex,FAC-000,Unbekannt,"ein durchlöchertes Blechdach eines Unterstands im Krankenhaus und verletzte Menschen, darunter auch Kinder.","Ein Video zeigt strukturelle Schäden am Dach eines Schutzraums im Krankenhaus sowie Menschen, darunter verletzte Kinder, die auf dem Boden liegen.",
INC-004,Al Ahli Arab Hospital,FAC-009,Raketenangriff,"Das Diagnostische Krebsbehandlungszentrum wurde von einer israelischen Rakete getroffen. Zwei obere Stockwerke des Zentrums, in denen sich die Ultraschall- und Mammographieabteilungen befinden, wurden schwer beschädigt. Vier medizinische Mitarbeiter wurden bei der Explosion verletzt.",Das Diagnostikzentrum ist das Kronjuwel des Ahli-Krankenhauses und bietet Krebsdiagnosen als Vorstufe zu verschiedenen Behandlungsoptionen sowohl im Ahli-Krankenhaus als auch in anderen Einrichtungen.,
INC-005,Al Ahli Arab Hospital,FAC-009,Bombardierung,471 Menschen wurden getötet und 342 verletzt.,"Eine verheerende Explosion, möglicherweise durch einen Luftangriff verursacht, erschütterte den Innenhof des Krankenhauses, setzte geparkte Fahrzeuge in Brand und tötete Hunderte von Menschen, die auf den umliegenden Rasenflächen kampierten. Das Gebiet war dicht mit Binnenvertriebenen besiedelt, die aufgrund der heftigen Bombardierungen in den Nachbargebieten geflohen waren.",
INC-006,Al Ahli Arab Hospital,FAC-009,Belagerung / Einkesselung,"Am 16. November begannen israelische Streitkräfte, darunter auch Panzer, das Krankenhaus zu belagern. Diese Belagerung dauerte bis zum 18. November unter schwerem Bombardement und Gewehrfeuer an.","Während der gesamten Belagerung war es den medizinischen Teams nicht möglich, nach draußen zu gelangen und die Verletzten sicher zu erreichen.",
INC-007,Al Ahli Arab Hospital,FAC-009,Luftangriff,Ein Luftangriff am 14. Dezember traf die Gegend und verursachte erhebliche Schäden an den Krankenhauseinrichtungen. Es wurden keine Opfer gemeldet.,,
INC-008,Al Ahli Arab Hospital,FAC-009,Zwangsevakuierung,Evakuiert aus Angst vor verstärkten militärischen Aktivitäten,"Am 8. Juli wurde das Al-Ahli-Baptistenkrankenhaus aus Angst vor verstärkten militärischen Aktivitäten, die es unzugänglich oder funktionsunfähig machen würden, evakuiert, und kritisch kranke Patienten wurden in andere Krankenhäuser verlegt.",
INC-009,Al Ahli Arab Hospital,FAC-009,Überlastung / Kapazitätskrise,Überwältigt von dem Massenunfall,"Rund 70 Leichen wurden ins Krankenhaus gebracht, einige konnten aufgrund der durch die Explosion verursachten Entstellungen nicht identifiziert werden. Das Krankenhaus war angesichts des Massenanfalls von Verletzten und eines akuten Mangels an Medikamenten, sauberem Wasser und Krankenhausbetten völlig überlastet.",
INC-010,Al Ahli Arab Hospital,FAC-009,Streik / Zwangsevakuierung,"Am 13. April wurde das Al-Ahli-Krankenhaus von zwei Angriffen getroffen, die das Notfallgebäude zerstörten. Die Aufnahme, das Labor und die Apotheke wurden ebenfalls zerstört, und die Kirche, in der viele Patienten untergebracht waren, wurde beschädigt. Das Labor ist das einzige in Gaza, das bestimmte Tests durchführt. Das Krankenhaus ist vorübergehend außer Betrieb.","Vor den Angriffen hatte das israelische Militär Berichten zufolge eine Evakuierungsanordnung erlassen, die medizinisches Personal und Patienten zur Evakuierung zwang. Obwohl zunächst keine Opfer gemeldet wurden, starb ein Kind Berichten zufolge aufgrund der Unterbrechung der medizinischen Versorgung während der Evakuierung. Laut dem Generaldirektor des Gesundheitsministeriums, Dr. Munir Al Bursh, wurden die Aufnahmeabteilung, das Labor und die Apotheke vollständig zerstört, während die Kirche, in der viele Patienten untergebracht waren, beschädigt wurde. Das Gesundheitsministerium erklärte, das Krankenhaus sei vorübergehend außer Betrieb und alle Leistungen seien auf drei andere Krankenhäuser, darunter ein Feldlazarett in Gaza-Stadt, verlegt worden.",
INC-011,Al Ahli Arab Hospital,FAC-009,Luftangriff,Bei einem Luftangriff auf den Hof des Al-Ahli-Arab-Krankenhauses wurden vier Journalisten getötet und drei weitere verletzt.,,
INC-012,Al Ahli Arab Hospital,FAC-009,Raketenangriff,"Am 8. September schlug eine Rakete im Innenhof des Al-Ahli-Arabischen Krankenhauses in Gaza-Stadt ein, wobei ein Mensch getötet und mehrere weitere verletzt wurden.",,
INC-013,Al Ahli Arab Hospital,FAC-009,Drohnenangriff,Berichten zufolge wurden sieben palästinensische Männer im Hof ​​des Al-Ahli-Krankenhauses getötet und weitere verletzt.,,
INC-014,Al Emirati Field Hospital,ID Not Found,Luftangriff (Umgebung),"Am 2. März wurden Zelte von Binnenvertriebenen und Menschen, die sich vor dem Feldlazarett Al Emirati versammelt hatten, bei israelischen Luftangriffen getroffen. Elf Menschen wurden getötet und etwa 50 weitere verletzt.",Unter den Todesopfern befanden sich eine Krankenschwester und ein Mitglied der Sanitätsmannschaft des Feldlazaretts.,
INC-015,Al Emirati Field Hospital,ID Not Found,Zugang beschränkt,Aufgrund erheblicher Zugangsprobleme bleibt es nur teilweise funktionsfähig.,,
INC-016,Al Helou International Hospital,FAC-023,Beschuss,Das Krankenhaus wurde direkt von Granaten getroffen.,"Am 1. November um 20:00 Uhr wurde das Al-Hilo-Krankenhaus, ebenfalls in Gaza-Stadt, Berichten zufolge von Granaten getroffen; das Krankenhaus hatte die Entbindungsstation des Shifa-Krankenhauses übernommen und ersetzt, die nun zur Behandlung der Verwundeten genutzt wird.",
INC-017,Al Helou International Hospital,FAC-023,schlagen,durch Einschläge in der Nähe entstandene Schäden,,
INC-018,Al Karama Specialized Hospital,FAC-015,Zwangsevakuierung,Das Krankenhaus musste evakuiert werden und ist nicht mehr in Betrieb.,"Laut WHO war es eines von vier Krankenhäusern im nördlichen Gazastreifen, die evakuiert werden mussten.",
INC-019,Al-Amal Hospital,FAC-005,Bombardierungsumgebung,Heftiger Bombenangriff 500 Meter vom Krankenhaus entfernt,"Ein Video zeigt heftigen Beschuss, der sich vor Stunden in Khan Younis südlich des Gazastreifens ereignete, nur 500 Meter vom Hauptquartier der Volksrepublik China und dem Al-Amal-Krankenhaus entfernt.",
INC-020,Al-Amal Hospital,FAC-005,Bombardierung,"Krankenhaus getroffen und beschädigt [OCHA Flash-Update Nr. 63], Fenster zersplittert und Türen durch Bombenangriff in der Gegend zerstört [Muslim Network TV]","Das Al-Amal-Krankenhaus und das angrenzende Hauptquartier der Volksrepublik China wurden bei Bombardierungen in der Region getroffen. Ein Haus in der Nähe des Krankenhauses wurde angegriffen, wodurch im Al-Amal-Krankenhaus Fensterscheiben zersplitterten und Türen beschädigt wurden. Zu diesem Zeitpunkt befanden sich 14.000 Binnenvertriebene im Gebäude, und der Vorfall löste Panik aus.",
INC-021,Al-Amal Hospital,FAC-005,Nicht spezifiziert,"Zuvor war das Krankenhaus von einem Stromausfall betroffen, woraufhin auch noch der einzige Generator ausfiel.","Am 14. November kam es im Al-Amal-Krankenhaus in Khan Younis im Süden zu einem Stromausfall, nachdem der einzige Generator ausgefallen war, wie der Philippinische Zivilschutzdienst (PRCS) mitteilte. Dadurch waren 90 Patienten gefährdet, 25 davon in kritischem Zustand. Zusätzlich suchen 9.000 Binnenvertriebene im Krankenhaus und auf dem Gelände des PRCS Zuflucht.",
