id,name,type,sub_type,governorate,area,lat,lng,beds_pre_war,specialization,pre_war_status,post_war_status,introduction,notes,Image_url,
FAC-000,Great Omari Mosque,Historic Mosque,Mosque / Historic ,gaza-city,Gaza City,31.504,34.4647,5000,Oldest mosque in Gaza - 1400 years old built on ancient temple site,639,destroyed,Gaza's largest and oldest mosque. Built in 7th century on site of ancient Byzantine church which was built over pagan temple to Dagon. Named after Caliph Omar bin Khattab. Contained rare manuscripts and historical library. Destroyed by airstrike 8 December 2023. Only Mamluk-era minaret partially standing. Considered one of most important mosques in historical Palestine.,Complete - Only damaged minaret remains,,View Site
FAC-001,Church of Saint Porphyrius,Greek Orthodox Church,church,gaza-city,Gaza City,31.504,34.462,400,Third oldest church in world - 1600 years old,425,partially-damaged,One of world's oldest churches dating to 5th century. Named after Saint Porphyrius Bishop of Gaza 395-420 AD. Church compound struck 19 October 2023 killing 18 people including 10 from one family. Building in compound completely destroyed. About 500 people sheltering mostly Christians. Church building itself survived but severely damaged. Attacked again in 2024 with unexploded ordnance.,Severe - Compound building destroyed church damaged,,View Site
FAC-002,Holy Family Church,Catholic Church,church,gaza-city,Gaza City,31.52408,34.45199,300,Only Catholic church in Gaza Strip,1965,partially-damaged,Only Catholic church in Gaza. Built in 1960s. Sheltered 648 displaced persons by December 2023. Mother and daughter Nahida and Samar Anton killed by Israeli sniper 16 December 2023 while walking to convent. Convent of Missionaries of Charity housing 54 disabled destroyed by tank fire. School hit 7 July 2024 killing 4 including Deputy Labor Minister. Solar panels water tanks destroyed. Operating under extreme conditions.,Severe - Multiple attacks ongoing operations limited,,View Site
FAC-003,Katib al-Wilaya Mosque,Historic Mosque,Mosque / Historic ,gaza-city,Gaza City,31.5039,34.4622,800,Mamluk-era mosque built beside Church of Saint Porphyrius,1432,destroyed,Historic Mamluk-era mosque (15th century) located beside Church of Saint Porphyrius symbolizing peaceful coexistence. Damaged in October strike on church compound. Completely destroyed in December 2023 airstrikes. Represented Gaza's interfaith heritage and architectural history.,Complete - Destroyed,,View Site
FAC-004,Sayed al-Hashim Mosque,Historic Mosque,Mosque / Historic ,gaza-city,Gaza City,31.50805,34.46335,3000,Contains tomb of Hashim ibn Abd Manaf Prophet Muhammad's grandfather,1850,destroyed,Important pilgrimage site containing tomb believed to be that of Hashim ibn Abd Manaf grandfather of Prophet Muhammad. Named UNESCO tentative World Heritage site. Significant religious and historical importance. Repeatedly targeted in November and December 2023. Extensive damage to structure and tomb area.,Severe - Major structural damage,,View Site
FAC-005,Khalid bin al-Walid Mosque,Mosque,Mosque,khan-younis,Khan Younis,31.34,34.33,2000,Named after renowned Islamic military commander,1995,destroyed,Large mosque in Khan Younis named after companion of Prophet Muhammad. Completely destroyed by airstrike 8 November 2023. Served as major worship center for southern Gaza. Rubble and debris all that remains.,Complete - Totally destroyed,,View Site
FAC-006,Al-Hassan Mosque,Neighborhood Mosque,Mosque,gaza-city,Tuffah Gaza City,31.508056,34.471667,500,Community worship center,1980,destroyed,Mosque in Tuffah neighborhood targeted during dawn prayers 16 November 2023. Direct airstrike killed 16 Palestinians worshipping. Complete destruction of structure. Community gathering center eliminated.,Complete - Destroyed during dawn prayers,,View Site
FAC-007,Al-Gharbi Mosque,Mosque,Mosque,gaza-city,Gaza City,31.32,34.2636,800,Western Gaza City worship center,1975,destroyed,One of first mosques destroyed in conflict. Hit by airstrike 9 October 2023. Complete structural destruction. Early indication of systematic targeting pattern.,Complete - Early destruction,,View Site
FAC-008,Jaffa Mosque,Historic Mosque,Mosque / Historic ,deir-al-balah,Deir al-Balah,,,1200,Historic central Gaza mosque,1890,destroyed,Historic mosque in Deir al-Balah. Destroyed December 2023. Significant loss to central Gaza religious infrastructure. Served large community for over century.,Complete - Destroyed,,View Site
FAC-009,Shuhada al-Aqsa Mosque,Mosque,Mosque,deir-al-balah,Deir al-Balah,,,1000,Named after Al-Aqsa Martyrs,2000,destroyed,Mosque targeted during prayers October 2024 killing 26 people. Families sheltering in mosque. Women and children among victims. Complete destruction of building. Part of ongoing pattern of attacks on worship during prayer times.,Complete - Bombed during prayers,,View Site
FAC-010,Zofor Domri Mosque,Neighborhood Mosque,Mosque,gaza-city,Shuja'iyya,,,600,Shuja'iyya community center,1985,destroyed,Mosque in Shuja'iyya neighborhood bombed on three separate occasions then bulldozed by ground forces. Systematic destruction documented. Complete elimination of structure and surrounding area.,Complete - Bombed three times then bulldozed,,View Site
FAC-011,Al-Riad Mosque,Mosque,Mosque,khan-younis,Khan Younis,,,1500,Khan Younis worship center,1990,destroyed,Large mosque in Khan Younis heavily damaged by Israeli bombing 9 March 2024. Extensive structural damage rendering it non-functional. Continued attacks on southern Gaza religious sites.,Severe - Heavily damaged,,View Site
