incident_id,_anchor,facility_id,attack_type_de,result_de,description_de,full_discription_de
INC-000,Great Omari Mosque,FAC-000,direkter Luftangriff,,"Die älteste und größte Moschee Gazas wurde vollständig zerstört. Das 1400 Jahre alte Bauwerk liegt in Trümmern. Lediglich das verbogene und zerbrochene Minarett aus der Mamlukenzeit ist erhalten geblieben. Eine seltene Handschriftenbibliothek wurde zerstört. Die Moschee wurde an der Stelle einer Moschee aus dem 7. Jahrhundert errichtet, die wiederum über einer byzantinischen Kirche und einem heidnischen Tempel stand.",
INC-001,Church of Saint Porphyrius,FAC-001,Luftangriffskomplex-Gebäude,,"Ein israelischer Luftangriff traf ein Gebäude auf dem Gelände einer Kirche, in dem Vertriebene Zuflucht gesucht hatten. Das Gebäude stürzte vollständig ein. 18 Menschen starben, darunter zehn Mitglieder einer Familie und mehrere Kinder. Etwa 500 Menschen, hauptsächlich Christen, hatten auf dem Gelände Schutz gesucht. Das Kirchengebäude selbst wurde nicht direkt getroffen, aber beschädigt.",
INC-002,Holy Family Church,FAC-002,Scharfschützenangriff,,"Ein israelischer Scharfschütze tötete Nahida Khalil Anton (70) und ihre Tochter Samar Kamal Anton (50) auf dem Weg zum Schwesternkloster. Die Mutter erschoss ihre Tochter, als sie versuchte, sie zu schützen. Es gab keine Warnung. Sieben weitere Personen wurden verletzt, als sie versuchten, die Menschen zu schützen. Laut dem Lateinischen Patriarchat handelte es sich um kaltblütige Taten.",
INC-003,Holy Family Church,FAC-002,Panzerfeuerkloster,,"Ein israelischer Panzer beschoss das Kloster der Missionarinnen der Nächstenliebe, in dem 54 behinderte Menschen untergebracht waren, mit drei Raketen. Generator und Treibstoffvorräte wurden zerstört. Das Gebäude ist unbewohnbar. Die 54 Behinderten sind obdachlos und haben keinen Zugang zu den zum Überleben notwendigen Beatmungsgeräten.",
INC-004,Holy Family Church,FAC-002,Luftangriffsschule,,"Bei einem israelischen Luftangriff auf die katholische Schule „Heilige Familie“ kamen vier Menschen ums Leben, darunter der palästinensische Vize-Arbeitsminister Ihab al-Ghussein, der dort Schutz gesucht hatte. Die Schule gehört zum Kirchengelände. Das Lateinische Patriarchat verurteilte den Angriff als Angriff auf Zivilisten und einen heiligen Ort.",
INC-005,Khalid bin al-Walid Mosque,FAC-005,direkter Luftangriff,,Die große Moschee in Khan Younis wurde vollständig zerstört. Sie war nach einem Gefährten des Propheten Mohammed und einem bekannten Feldherrn benannt. Durch Bombenangriffe wurde die Moschee in Schutt und Asche gelegt. Ein wichtiges Gotteshaus für den südlichen Gazastreifen wurde vernichtet.,
INC-006,Al-Hassan Mosque,FAC-006,Luftangriff während des Gebets,,Ein israelischer Luftangriff traf eine Moschee im Viertel Tuffah während des Morgengebets. 16 Palästinenser wurden beim Gebet getötet. Der Gebetsraum wurde direkt getroffen. Das Gebäude wurde vollständig zerstört. Der Angriff erfolgte während des laufenden Gebets.,
INC-007,Al-Gharbi Mosque,FAC-007,direkter Luftangriff,,"Eine der ersten Moscheen, die im Konflikt zerstört wurden. Direkter Luftangriff am 9. Oktober 2023. Vollständiger Einsturz. Erste Anzeichen für ein systematisches Muster gezielter Angriffe auf religiöse Stätten.",
INC-008,Church of Saint Porphyrius,FAC-001,Raketenangriff - nicht explodiert,,"Eine Rakete traf das Gelände der St.-Porphyrius-Kirche, explodierte jedoch nicht und verhinderte so den Verlust von Menschenleben unter den dort noch Schutz suchenden Flüchtlingen. Es handelte sich um den zweiten Angriff auf die Kirche nach dem Anschlag im Oktober 2023. Auf dem Kirchengelände wurde Blindgänger gefunden.",
INC-009,Shuhada al-Aqsa Mosque,FAC-009,Bombenanschlag während des Gebets,,Bei einem Bombenanschlag während des Gebets wurden 26 Menschen getötet. Familien hatten im Moscheegelände Schutz gesucht. Unter den Opfern befanden sich Frauen und Kinder. Der Anschlag ereignete sich während des Gebets. Das Gebäude wurde vollständig zerstört.,
INC-010,Zofor Domri Mosque,FAC-010,Erster Luftangriff,,Erster von drei Luftangriffen auf die Moschee im Viertel Shuja'iyya. Beginn systematischer Angriffe auf diesen Ort.,
INC-011,Zofor Domri Mosque,FAC-010,zweiter Luftangriff,,Zweiter Luftangriff auf dieselbe Moschee. Fortsetzung der Angriffe trotz vorheriger Zerstörung.,
INC-012,Zofor Domri Mosque,FAC-010,dritter Luftangriff – Bulldozer,,Nach einem dritten Luftangriff wurde das gesamte Moscheegelände von Bodentruppen mit Bulldozern dem Erdboden gleichgemacht. Das Gebäude wurde vollständig zerstört. Die systematische Zerstörung wurde dokumentiert.,
INC-013,Sayed al-Hashim Mosque,FAC-004,Luftangriff - initial,,"Erster schwerer Anschlag auf eine Moschee mit dem Grab von Hashim ibn Abd Manaf, dem Großvater des Propheten Mohammed. Erhebliche Schäden an der UNESCO-Probeweltstätte.",
INC-014,Sayed al-Hashim Mosque,FAC-004,wiederholte Schläge,,Wiederholte Luftangriffe verursachten erhebliche Schäden an der Moschee und dem Grabmalbereich. Eine wichtige Pilgerstätte wurde schwer beschädigt.,
INC-015,Katib al-Wilaya Mosque,FAC-003,Einschlag in der Nähe,,"Die historische Mamlukenmoschee neben der Kirche des Heiligen Porphyrius wurde bei demselben Angriff beschädigt, der auch das Kirchengelände traf. Kollateralschaden durch den Angriff auf das Kirchengelände.",
INC-016,Katib al-Wilaya Mosque,FAC-003,direkte Zerstörung,,Die historische Moschee wurde vollständig zerstört. Sie wurde zusammen mit der Großen Umari-Moschee bei den Anschlägen im Dezember vernichtet. Die Architektur aus der Mamlukenzeit ging verloren.,
INC-017,Al-Riad Mosque,FAC-011,schweres Bombardement,,Die große Khan-Younis-Moschee wurde durch anhaltende Bombardierungen schwer beschädigt. Umfangreiche strukturelle Schäden machten sie unbrauchbar. Sie war Teil der Operationen im südlichen Gazastreifen im März 2024.,
INC-018,Jaffa Mosque,FAC-008,direkter Luftangriff,,Die historische Deir al-Balah-Moschee wurde im Dezember 2023 zerstört. Über 130 Jahre Geschichte wurden ausgelöscht. Religiöse Infrastruktur im zentralen Gazastreifen wurde gezielt angegriffen.,
INC-019,St. Hilarion Monastery,FAC-018,Umgebung für Militäroperationen,,Ein antikes Kloster und eine archäologische Stätte aus dem 4. Jahrhundert wurden durch Militäroperationen und Bombardierungen in der Umgebung beschädigt. Die Stätte steht auf der Tentativliste des UNESCO-Welterbes und ist gefährdet. Das frühchristliche Erbe ist bedroht.,
INC-020,Holy Family Church,FAC-002,Arbeiteraufnahmen,,"Zwei Arbeiter, die versuchten, durch Explosionen beschädigte Wassertanks zu reparieren, wurden von Scharfschützen erschossen und erlagen ihren Verletzungen. Wartungsarbeiter wurden bei dem Versuch, die Grundversorgung wiederherzustellen, ins Visier genommen.",
INC-021,Holy Family Church,FAC-002,Zerstörung der Infrastruktur,,Solaranlagen und Wassertanks zerstört. Generator beschädigt. Kloster der Mutter-Teresa-Schwestern unbewohnbar. Kritische Infrastruktur systematisch angegriffen.,
INC-022,Great Omari Mosque,FAC-000,Frühschaden,,Ein erster Angriff beschädigte Teile des Moscheegebäudes. Es folgten wiederholte Angriffe vor der endgültigen Zerstörung.,
INC-023,Multiple Mosques,FAC-021,systematische Kampagne,,Bis zum 13. November 2023 wurden laut Berichten mindestens 60 Moscheen durch israelische Bomben zerstört. Ein systematisches Muster gezielter Angriffe auf religiöse Stätten wurde dokumentiert.,
INC-024,Rafah Mosque,FAC-020,durch Luftangriffe vertriebene Personen,,"Bei einem Luftangriff auf eine Moschee in Rafah, in der sich zahlreiche Binnenflüchtlinge aufhielten, wurden mindestens sieben Menschen getötet. Die Menschen suchten in der Moschee Schutz. Es handelte sich um einen Angriff auf Zivilisten in ihrem Gotteshaus.",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
