id,_anchor,name_ar,specialization_ar,post_war_status_ar,introduction_ar,introduction_ar,notes_ar
FAC-000,Great Omari Mosque,الجامع العمري الكبير,أقدم مسجد في غزة - عمره 1400 عام، بُني على موقع معبد أثري.,تم تدميرها,Gaza's largest and oldest mosque. Built in 7th century on site of ancient Byzantine church which was built over pagan temple to Dagon. Named after Caliph Omar bin Khattab. Contained rare manuscripts and historical library. Destroyed by airstrike 8 December 2023. Only Mamluk-era minaret partially standing. Considered one of most important mosques in historical Palestine.,أكبر وأقدم مساجد غزة. بُني في القرن السابع الميلادي على موقع كنيسة بيزنطية قديمة شُيّدت فوق معبد وثني للإله داجون. سُمّي على اسم الخليفة عمر بن الخطاب. كان يضم مخطوطات نادرة ومكتبة تاريخية. دُمّر في غارة جوية في 8 ديسمبر 2023. لم يتبقّ منه سوى مئذنة من العصر المملوكي. يُعتبر من أهم المساجد في فلسطين التاريخية.,مكتمل - لم يتبق سوى المئذنة المتضررة
FAC-001,Church of Saint Porphyrius,كنيسة القديس بورفيريوس,ثالث أقدم كنيسة في العالم - عمرها 1600 عام,متضرر جزئياً,One of world's oldest churches dating to 5th century. Named after Saint Porphyrius Bishop of Gaza 395-420 AD. Church compound struck 19 October 2023 killing 18 people including 10 from one family. Building in compound completely destroyed. About 500 people sheltering mostly Christians. Church building itself survived but severely damaged. Attacked again in 2024 with unexploded ordnance.,إحدى أقدم كنائس العالم، يعود تاريخها إلى القرن الخامس الميلادي. سُميت تيمناً بالقديس بورفيريوس، أسقف غزة (395-420 ميلادي). تعرض مجمع الكنيسة لهجوم في 19 أكتوبر 2023، ما أسفر عن مقتل 18 شخصاً، بينهم 10 من عائلة واحدة. دُمّر مبنى المجمع تدميراً كاملاً، ولجأ إليه نحو 500 شخص، معظمهم من المسيحيين. نجا مبنى الكنيسة نفسه، لكنه تضرر بشدة. تعرض المجمع لهجوم آخر عام 2024 بذخائر غير منفجرة.,أضرار جسيمة - تدمير مبنى المجمع وتضرر الكنيسة
FAC-002,Holy Family Church,كنيسة العائلة المقدسة,الكنيسة الكاثوليكية الوحيدة في قطاع غزة,متضرر جزئياً,Only Catholic church in Gaza. Built in 1960s. Sheltered 648 displaced persons by December 2023. Mother and daughter Nahida and Samar Anton killed by Israeli sniper 16 December 2023 while walking to convent. Convent of Missionaries of Charity housing 54 disabled destroyed by tank fire. School hit 7 July 2024 killing 4 including Deputy Labor Minister. Solar panels water tanks destroyed. Operating under extreme conditions.,الكنيسة الكاثوليكية الوحيدة في غزة. بُنيت في ستينيات القرن الماضي. آوت 648 نازحًا بحلول ديسمبر 2023. قُتلت الأم وابنتها ناهدة وسمر أنطون برصاص قناص إسرائيلي في 16 ديسمبر 2023 أثناء توجههما إلى الدير. دُمّر دير راهبات المحبة، الذي كان يضم 54 من ذوي الاحتياجات الخاصة، بنيران دبابة. استُهدفت المدرسة في 7 يوليو 2024، ما أسفر عن مقتل 4 أشخاص بينهم نائب وزير العمل. دُمرت ألواح الطاقة الشمسية وخزانات المياه. تعمل الكنيسة في ظروف قاسية.,شديد - هجمات متعددة جارية، العمليات محدودة
FAC-003,Katib al-Wilaya Mosque,مسجد كاتب الولاية,مسجد من العصر المملوكي بني بجوار كنيسة القديس برفيريوس,تم تدميرها,Historic Mamluk-era mosque (15th century) located beside Church of Saint Porphyrius symbolizing peaceful coexistence. Damaged in October strike on church compound. Completely destroyed in December 2023 airstrikes. Represented Gaza's interfaith heritage and architectural history.,مسجد تاريخي من العصر المملوكي (القرن الخامس عشر) يقع بجوار كنيسة القديس بورفيريوس، رمزًا للتعايش السلمي. تضرر المسجد في غارة جوية استهدفت مجمع الكنيسة في أكتوبر/تشرين الأول، ثم دُمر بالكامل في غارات جوية في ديسمبر/كانون الأول 2023. كان المسجد يُمثل تراث غزة المعماري والتعدد الديني.,مكتمل - مدمر
FAC-004,Sayed al-Hashim Mosque,مسجد سيد الهاشم,يضم قبر هاشم بن عبد مناف، جد النبي محمد,تم تدميرها,Important pilgrimage site containing tomb believed to be that of Hashim ibn Abd Manaf grandfather of Prophet Muhammad. Named UNESCO tentative World Heritage site. Significant religious and historical importance. Repeatedly targeted in November and December 2023. Extensive damage to structure and tomb area.,موقع حج هام يضم ضريحًا يُعتقد أنه ضريح هاشم بن عبد مناف، جد النبي محمد صلى الله عليه وسلم. مُدرج ضمن قائمة اليونسكو للتراث العالمي. ذو أهمية دينية وتاريخية بالغة. تعرض الموقع لهجمات متكررة في نوفمبر وديسمبر 2023، مما أدى إلى أضرار جسيمة في المبنى ومنطقة الضريح.,أضرار هيكلية جسيمة - كبيرة
FAC-005,Khalid bin al-Walid Mosque,مسجد خالد بن الوليد,سميت تيمنا بالقائد العسكري الإسلامي الشهير,تم تدميرها,Large mosque in Khan Younis named after companion of Prophet Muhammad. Completely destroyed by airstrike 8 November 2023. Served as major worship center for southern Gaza. Rubble and debris all that remains.,مسجد كبير في خان يونس سُمّي على اسم صحابي النبي محمد صلى الله عليه وسلم. دُمّر بالكامل جراء غارة جوية في 8 نوفمبر 2023. كان يُعدّ مركزًا رئيسيًا للعبادة في جنوب غزة. لم يتبقّ منه سوى الأنقاض والحطام.,مكتمل - مدمر بالكامل
FAC-006,Al-Hassan Mosque,مسجد الحسن,مركز عبادة مجتمعي,تم تدميرها,Mosque in Tuffah neighborhood targeted during dawn prayers 16 November 2023. Direct airstrike killed 16 Palestinians worshipping. Complete destruction of structure. Community gathering center eliminated.,استُهدف مسجد في حي تفاح أثناء صلاة الفجر في 16 نوفمبر 2023. أسفرت غارة جوية مباشرة عن مقتل 16 فلسطينياً كانوا يؤدون الصلاة. دُمّر المسجد بالكامل، واختفى مركز التجمع المجتمعي.,مكتمل - تم تدميره أثناء صلاة الفجر
FAC-007,Al-Gharbi Mosque,مسجد الغربي,مركز عبادة في مدينة غزة الغربية,تم تدميرها,One of first mosques destroyed in conflict. Hit by airstrike 9 October 2023. Complete structural destruction. Early indication of systematic targeting pattern.,أحد أوائل المساجد التي دُمرت في النزاع. استُهدف بغارة جوية في 9 أكتوبر 2023. دُمّر هيكله بالكامل. مؤشر مبكر على نمط استهداف ممنهج.,تدمير كامل - مبكر
FAC-008,Jaffa Mosque,مسجد يافا,مسجد غزة المركزي التاريخي,تم تدميرها,Historic mosque in Deir al-Balah. Destroyed December 2023. Significant loss to central Gaza religious infrastructure. Served large community for over century.,مسجد تاريخي في دير البلح. دُمر في ديسمبر 2023. خسارة فادحة للبنية التحتية الدينية في وسط غزة. خدم المسجد جالية كبيرة لأكثر من قرن.,مكتمل - مدمر
FAC-009,Shuhada al-Aqsa Mosque,مسجد شهداء الأقصى,أطلق عليهم شهداء الأقصى,تم تدميرها,Mosque targeted during prayers October 2024 killing 26 people. Families sheltering in mosque. Women and children among victims. Complete destruction of building. Part of ongoing pattern of attacks on worship during prayer times.,استُهدف مسجد أثناء الصلاة في أكتوبر 2024، ما أسفر عن مقتل 26 شخصًا. عائلات كانت تحتمي بالمسجد. نساء وأطفال من بين الضحايا. دُمّر المبنى بالكامل. يُعدّ هذا جزءًا من نمط متكرر من الهجمات على أماكن العبادة أثناء أوقات الصلاة.,مكتمل - تم تفجيره أثناء الصلاة
