id,_anchor,name_de,specialization_de,post_war_status_de,introduction_de,notes_de
FAC-000,Great Omari Mosque,Große Omari-Moschee,"Älteste Moschee in Gaza – 1400 Jahre alt, erbaut auf dem Gelände eines alten Tempels",zerstört,"Die größte und älteste Moschee Gazas. Erbaut im 7. Jahrhundert an der Stelle einer alten byzantinischen Kirche, die über einem heidnischen Dagon-Tempel errichtet worden war. Benannt nach Kalif Omar ibn al-Chattab. Sie beherbergte seltene Manuskripte und eine historische Bibliothek. Zerstört durch einen Luftangriff am 8. Dezember 2023. Lediglich das Minarett aus der Mamlukenzeit ist teilweise erhalten. Sie gilt als eine der bedeutendsten Moscheen im historischen Palästina.",Vollständig – nur das beschädigte Minarett ist erhalten.
FAC-001,Church of Saint Porphyrius,Kirche des Heiligen Porphyrius,Drittälteste Kirche der Welt – 1600 Jahre alt,teilweise beschädigt,"Eine der ältesten Kirchen der Welt, deren Ursprünge bis ins 5. Jahrhundert zurückreichen. Benannt nach dem Heiligen Porphyrius, Bischof von Gaza (395–420 n. Chr.). Das Kirchengelände wurde am 19. Oktober 2023 angegriffen, wobei 18 Menschen, darunter 10 Mitglieder einer Familie, getötet wurden. Die Gebäude auf dem Gelände wurden vollständig zerstört. Etwa 500 Menschen, hauptsächlich Christen, suchten Zuflucht. Das Kirchengebäude selbst blieb zwar erhalten, wurde aber schwer beschädigt. Im Jahr 2024 wurde es erneut zu einem Angriff mit Blindgängern gekommen.","Schwerwiegend – Gebäudekomplex zerstört, Kirche beschädigt"
FAC-002,Holy Family Church,Kirche der Heiligen Familie,Einzige katholische Kirche im Gazastreifen,teilweise beschädigt,"Die einzige katholische Kirche im Gazastreifen. Erbaut in den 1960er Jahren. Bis Dezember 2023 bot sie 648 Binnenvertriebenen Schutz. Mutter und Tochter Nahida und Samar Anton wurden am 16. Dezember 2023 auf dem Weg zum Kloster von einem israelischen Scharfschützen getötet. Das Kloster der Missionarinnen der Nächstenliebe, in dem 54 Behinderte lebten, wurde durch Panzerbeschuss zerstört. Am 7. Juli 2024 wurde eine Schule getroffen, wobei vier Menschen, darunter der stellvertretende Arbeitsminister, ums Leben kamen. Solaranlagen und Wassertanks wurden zerstört. Die Einrichtung arbeitet unter extremen Bedingungen.","Schwerwiegend – Mehrere Angriffe, laufender Betrieb eingeschränkt"
FAC-003,Katib al-Wilaya Mosque,Katib al-Wilaya Moschee,"Moschee aus der Mamlukenzeit, erbaut neben der Kirche des Heiligen Porphyrius",zerstört,Die historische Moschee aus der Mamlukenzeit (15. Jahrhundert) neben der Kirche des Heiligen Porphyrius symbolisierte friedliches Zusammenleben. Sie wurde im Oktober bei einem Angriff auf das Kirchengelände beschädigt und im Dezember 2023 durch Luftangriffe vollständig zerstört. Sie repräsentierte das interreligiöse Erbe und die Architekturgeschichte Gazas.,Vollständig zerstört
FAC-004,Sayed al-Hashim Mosque,Sayed al-Haschim Moschee,"Enthält das Grab von Hashim ibn Abd Manaf, dem Großvater des Propheten Mohammed.",zerstört,"Bedeutende Pilgerstätte mit dem Grab, das als das von Hashim ibn Abd Manaf, dem Großvater des Propheten Mohammed, gilt. Auf der Liste der UNESCO-Vorschlagsstätten für Weltkulturerbe. Von großer religiöser und historischer Bedeutung. Im November und Dezember 2023 wiederholt Ziel von Anschlägen. Umfangreiche Schäden am Bauwerk und im Grabbereich.",Schwerwiegend – erhebliche strukturelle Schäden
FAC-005,Khalid bin al-Walid Mosque,Khalid bin al-Walid Moschee,Benannt nach dem berühmten islamischen Militärkommandanten,zerstört,"Die große Moschee in Khan Younis, benannt nach einem Gefährten des Propheten Mohammed, wurde am 8. November 2023 durch einen Luftangriff vollständig zerstört. Sie diente als wichtigstes Gotteshaus für den südlichen Gazastreifen. Nur noch Trümmer und Schutt zeugen davon.",Vollständig zerstört
FAC-006,Al-Hassan Mosque,Al-Hassan-Moschee,Gemeindezentrum,zerstört,Eine Moschee im Viertel Tuffah wurde am 16. November 2023 während des Morgengebets angegriffen. Bei einem direkten Luftangriff wurden 16 betende Palästinenser getötet. Das Gebäude wurde vollständig zerstört. Das Gemeindezentrum wurde vernichtet.,Vollständig zerstört – während des Morgengebets vernichtet
FAC-007,Al-Gharbi Mosque,Al-Gharbi-Moschee,Gottesdienstzentrum in der Stadt West-Gaza,zerstört,"Eine der ersten Moscheen, die im Konflikt zerstört wurden. Getroffen durch einen Luftangriff am 9. Oktober 2023. Vollständige Zerstörung des Gebäudes. Erste Hinweise auf ein systematisches Angriffsmuster.",Vollständig - Frühe Zerstörung
FAC-008,Jaffa Mosque,Jaffa-Moschee,Historische Zentralmoschee von Gaza,zerstört,Historische Moschee in Deir al-Balah. Zerstört im Dezember 2023. Ein bedeutender Verlust für die religiöse Infrastruktur im zentralen Gazastreifen. Sie diente über ein Jahrhundert lang einer großen Gemeinde.,Vollständig zerstört
FAC-009,Shuhada al-Aqsa Mosque,Shuhada al-Aqsa Moschee,Benannt nach den Märtyrern der Al-Aqsa-Moschee,zerstört,"Im Oktober 2024 wurde eine Moschee während des Gebets angegriffen, wobei 26 Menschen getötet wurden. Familien hatten in der Moschee Schutz gesucht. Unter den Opfern befanden sich Frauen und Kinder. Das Gebäude wurde vollständig zerstört. Der Anschlag reiht sich in eine Serie von Angriffen auf Gottesdienste während der Gebetszeiten ein.",Abgeschlossen – während des Gebets bombardiert.
